Nr;Word;Target_nonword;Syllables;Condition;Length_list;Word1;Word_2;Word3;Word4;Word5;Word6;Position_target;Noise_level;Position_foil;
217;vlot;vrot_1.wav;1;Target-only;4 words;spomwel.wav;vrot_2.wav;akakos.wav;borts.wav;;;2;plus8db;0;
218;pruik;proek_1.wav;1;Target-only;4 words;doljeen.wav;proek_2.wav;klek.wav;spomset.wav;;;2;plus8db;0;
219;schaap;schuip_1.wav;1;Target-only;4 words;wamoel.wav;schuip_2.wav;balstel.wav;res.wav;;;2;plus8db;0;
220;wiel;diel_1.wav;1;Target-only;4 words;schuik.wav;diel_2.wav;trauster.wav;pozaat.wav;;;2;plus8db;0;
221;rok;ror_1.wav;1;Target-only;4 words;schir.wav;ror_2.wav;nekla.wav;draxtor.wav;;;2;plus8db;0;
222;vos;ves_1.wav;1;Target-only;4 words;almak.wav;ves_2.wav;calg.wav;ijnhooid.wav;;;2;plus8db;0;
223;spin;klin_1.wav;1;Target-only;4 words;heut.wav;klin_2.wav;beno.wav;pommoon.wav;;;2;plus8db;0;
224;harp;harf_1.wav;1;Target-only;4 words;tenreel.wav;raardkust.wav;harf_2.wav;gaak.wav;;;3;plus8db;0;
225;zwaan;praan_1.wav;1;Target-only;4 words;mork.wav;siekoed.wav;praan_2.wav;beerban.wav;;;3;plus8db;0;
226;geit;deit_1.wav;1;Target-only;4 words;plaai.wav;remel.wav;deit_2.wav;bageen.wav;;;3;plus8db;0;
227;tak;tek_1.wav;1;Target-only;4 words;zweeger.wav;olker.wav;tek_2.wav;kig.wav;;;3;plus8db;0;
228;worst;porst_1.wav;1;Target-only;4 words;cofo.wav;gruin.wav;porst_2.wav;petloog.wav;;;3;plus8db;0;
229;eend;oend_1.wav;1;Target-only;4 words;fonguin.wav;laaps.wav;oend_2.wav;spunel.wav;;;3;plus8db;0;
230;bijl;lijl_1.wav;1;Target-only;4 words;schifthad.wav;garlon.wav;lijl_2.wav;dreel.wav;;;3;plus8db;0;
231;pan;nan_1.wav;1;Target-only;4 words;susraan.wav;breen.wav;nan_2.wav;eekhaaid.wav;;;3;plus8db;0;
232;haai;hoei_1.wav;1;Target-only;4 words;jerg.wav;cigroon.wav;hoei_2.wav;lordel.wav;;;3;plus8db;0;
233;peer;reer_1.wav;1;Target-only;5 words;omvost.wav;reer_2.wav;drits.wav;bilwoon.wav;pild.wav;;2;plus8db;0;
234;duim;tuim_1.wav;1;Target-only;5 words;drander.wav;tuim_2.wav;laber.wav;kloes.wav;zuin.wav;;2;plus8db;0;
235;helm;hern_1.wav;1;Target-only;5 words;delk.wav;hern_2.wav;wazon.wav;tuip.wav;veser.wav;;2;plus8db;0;
236;muis;muin_1.wav;1;Target-only;5 words;blan.wav;muin_2.wav;wemp.wav;euzer.wav;knekgel.wav;;2;plus8db;0;
237;baard;baaks_1.wav;1;Target-only;5 words;sinier.wav;baaks_2.wav;ern.wav;has.wav;zates.wav;;2;plus8db;0;
238;strik;strok_1.wav;1;Target-only;5 words;torlier.wav;geun.wav;strok_2.wav;tarp.wav;furilt.wav;;3;plus8db;0;
