nr;Band;spelling;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
1169;30;anekdotisch;11;-0.1;1.6;-2.7;2.9;327;0,954302267;1,688082117;0,932721713;1,347470506;W;W;W;W;2530;;3,403120521;
1170;30;formatteren;11;1,4;0,8;3,3;-0,2;316;0,955060601;1,696037402;0,936708861;1,371390798;W;W;W;W;145;0,09;2,161368002;-1,045757491
1171;30;mascarpone;10;1,1;2,7;3;-4;341;0,957136804;1,718385127;0,941348974;1,40025507;W;W;W;W;609;0,11;2,784617293;-0,958607315
1172;30;afdwaling;9;-0,8;-2,9;-3,3;-2,6;358;0,956888287;1,715664718;0,941340782;1,400203079;W;W;W;W;297;0,02;2,472756449;-1,698970004
1173;30;pubertijd;9;1,4;-4,1;0,3;-0,4;374;0,952307761;1,667653764;0,935828877;1,366044063;W;W;W;W;1530;0,66;3,184691431;-0,180456064
1174;30;betreding;9;1,1;3,3;2,8;-2,3;335;0,954568915;1,6908672;0,937313433;1,375086989;W;W;W;W;403;0,09;2,605305046;-1,045757491
1175;30;hoofdwet;8;-1,1;2,8;-0,6;-1,3;339;0,955816005;1,704070109;0,935103245;1,361664357;W;W;W;W;315;;2,498310554;
1176;30;intypen;7;-0,4;-0,6;-3,1;-1,1;358;0,952340462;1,667983124;0,932960894;1,348883771;W;W;W;W;1040;0,11;3,017033339;-0,958607315
1177;30;afremming;9;1.9;4.1;-1.7;2.2;346;0,957033326;1,717250854;0,936416185;1,369608168;W;W;W;W;226;;2,354108439;
1178;30;rationalisme;12;2,8;2,4;-0,9;0,4;338;0,957278488;1,719941789;0,937869822;1,378505285;W;W;W;W;2840;0,09;3,45331834;-1,045757491
1179;30;vuurhaard;9;-2;2,5;-2,4;-1,7;320;0,956594067;1,712460347;0,934375;1,357294986;W;W;W;W;390;0,07;2,591064607;-1,15490196
1180;30;zeepschuim;10;1,4;-1,9;-3,9;1,6;331;0,956818541;1,714903514;0,936555891;1,370458548;W;W;W;W;138;;2,139879086;
1181;30;ontwaking;9;-1,4;-0,9;2,8;4,2;333;0,957366931;1,720915608;0,942942943;1,41044472;W;W;W;W;853;0,21;2,930949031;-0,677780705
1182;30;corporatie;10;-1,5;4,2;-3,3;2,1;323;0,957805158;1,725765087;0,938080495;1,379803811;W;W;W;W;1500;0,5;3,176091259;-0,301029996
1183;30;douchegel;9;2.8;4.2;-0.5;-4;312;0,953832735;1,683209567;0,932692308;1,347296946;W;W;W;W;875;;2,942008053;
1184;30;uitboren;8;1,6;3,6;-0,6;4,4;333;0,95197901;1,664352637;0,930930931;1,336973671;W;W;W;W;68;;1,832508913;
1185;30;ongebogen;9;0,3;2,4;-4,5;0;319;0,95752404;1,722649545;0,940438871;1,394501741;W;W;W;W;94;;1,973127854;
1186;30;astmatisch;10;-1,9;4,6;-1,2;1,8;313;0,957212173;1,719212672;0,939297125;1,387348688;W;W;W;W;392;0,16;2,593286067;-0,795880017
1187;30;opdweilen;9;-1,1;1;-4,9;0,7;355;0,951799129;1,66255402;0,932394366;1,345540647;W;W;W;W;185;0,32;2,267171728;-0,494850022
1188;30;terugkopen;10;0,4;-2,5;-4,8;4;322;0,954281724;1,6878681;0,934782609;1,359737384;W;W;W;W;389;0,98;2,589949601;-0,008773924
1189;30;sportieveling;13;3,5;4,8;-3,9;-2,7;370;0,954937246;1,694736029;0,935135135;1,361856289;W;W;W;W;310;0,07;2,491361694;-1,15490196
1190;30;kleinhartig;11;0,8;-4,9;4;1,8;332;0,953382683;1,678576379;0,936746988;1,371623344;W;W;W;W;7;;0,84509804;
1191;30;busstop;7;2,1;-5;0,9;-4,4;386;0,954137556;1,686368271;0,937823834;1,378222135;W;W;W;W;89;;1,949390007;
1192;30;apporteren;10;-2,8;-2,1;1;-5,3;332;0,953963345;1,684560951;0,936746988;1,371623344;W;W;W;W;1710;0,3;3,23299611;-0,522878745
1193;30;recessief;9;-2,8;2,3;-5,5;-0,5;330;0,95693771;1,716204718;0,933333333;1,351089806;W;W;W;W;259;0,05;2,413299764;-1,301029996
1194;30;spiercel;8;2,1;0,2;-5,1;-0,3;349;0,95414257;1,686420372;0,934097421;1,355636352;W;W;W;W;101;;2,004321374;
1195;30;pianospelen;11;-2,9;-2,7;-5,4;-2,9;347;0,951888718;1,663449143;0,930835735;1,336419783;W;W;W;W;2320;0,69;3,365487985;-0,161150909
1196;30;knelling;8;-0,1;-1;5,2;-3;337;0,951489126;1,65946689;0,934718101;1,359350312;W;W;W;W;75;;1,875061263;
1197;30;huisgevel;9;3,1;1,5;-5,2;-1,9;322;0,951445836;1,65903704;0,928571429;1,323364216;W;W;W;W;134;;2,127104798;
1198;30;heidendom;9;1,5;0;-5,1;3,7;343;0,953221175;1,676922437;0,930029155;1,331743145;W;W;W;W;2490;;3,396199347;
1199;30;openlaten;9;-0,2;-3,7;-5,3;-2,9;337;0,952023144;1,664794746;0,934718101;1,359350312;W;W;W;W;554;0,43;2,743509765;-0,366531544
