nr;Band;spelling;randomisation;selection;Etymology;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
133;4;verkeer;0,976577717;1;;7;-0,1;0;0;-0,8;327;0,998532137;2,974389055;0,996941896;1,912513228;W;W;W;W;29000;15,28;4,462397998;1,184123354
174;5;toen;0,000556724;1;;4;-0,4;0;0;-0,5;353;0,998415311;2,95081395;0,997167139;1,915863785;W;W;W;W;139000;1086,55;5,1430148;3,036049716
172;5;liggend;0,047460241;1;;7;-0,5;0;0;-0,4;357;0,998416546;2,951054811;0,99719888;1,916337671;W;W;W;W;7050;1,99;3,848189117;0,298853076
169;5;roomijs;0,16032359;1;;7;0;0;0;0;357;0,998478673;2,963395477;0,99719888;1,916337671;W;W;W;W;1870;0,59;3,271841607;-0,229147988
178;5;huurwoning;0,219714532;1;;10;-0,4;0;0;0,4;336;0,998348595;2,938052628;0,99702381;1,913729232;W;W;W;W;1350;0,07;3,130333768;-1,15490196
191;5;arresteren;0,247726945;1;;10;-0,1;0;1;-0,2;325;0,998295816;2,92828556;0,996923077;1,912234258;W;W;W;W;3780;33,14;3,5774918;1,520352504
161;5;paskamer;0,277235803;1;;8;-0,4;0;0;-0,4;321;0,998450629;2,957769093;0,996884735;1,911666349;W;W;W;W;464;0,53;2,666517981;-0,27572413
199;5;viool;0,298215424;1;;5;-0,5;0;1;0,3;350;0,998417965;2,951331654;0,997142857;1,915501552;W;W;W;W;5750;4,3;3,759667845;0,633468456
180;5;zwemster;0,340264761;1;;8;-0,4;0;0;-0,4;330;0,998392365;2,946370587;0,996969697;1,912925616;W;W;W;W;1180;0,57;3,071882007;-0,244125144
187;5;zelfportret;0,412480024;1;;11;-0,1;0;1;-0,1;337;0,998318089;2,932373168;0,997032641;1,913860504;W;W;W;W;6950;0,48;3,841984805;-0,318758763
184;5;idioot;0,439435804;1;;6;-0,1;0;1;0;340;0,998355073;2,9392709;0,997058824;1,914249879;W;W;W;W;7950;117,29;3,900367129;2,069260986
192;5;afkijken;0,475668816;1;;8;-0,1;0;1;0;331;0,998265563;2,922810595;0,996978852;1,913061488;W;W;W;W;1380;0,41;3,139879086;-0,387216143
193;5;slapen;0,523089873;1;;6;-0,5;0;0,9;0,2;352;0,998438986;2,955460376;0,997159091;1,915743699;W;W;W;W;42200;209,22;4,625312451;2,320603198
168;5;onrecht;0,540646771;1;;7;-0,1;0;0,8;0,1;349;0,998266818;2,923035989;0,994269341;1,874306064;W;W;W;W;8270;4,76;3,91750551;0,677606953
175;5;relatief;0,584912431;1;;8;-0,4;0;0;0;339;0,998429777;2,953645514;0,997050147;1,914120821;W;W;W;W;43100;2,9;4,63447727;0,462397998
195;5;fietstocht;0,693004097;1;;10;-0,5;0;1;-0,5;345;0,99845369;2,958378691;0,997101449;1,91488441;W;W;W;W;2750;0,09;3,439332694;-1,045757491
177;5;ijzerdraad;0,713740569;1;;10;0;0;0;0;313;0,99835573;2,939394681;0,996805112;1,910488952;W;W;W;W;2280;0,57;3,357934847;-0,244125144
170;5;onvolledig;0,761685539;1;;10;-0,1;0;0,8;-0,2;358;0,998363331;2,940830295;0,997206704;1,916454554;W;W;W;W;4710;0,69;3,673020907;-0,161150909
176;5;sterven;0,81198198;1;;7;-0,4;0;0;-0,4;345;0,99826188;2,922150075;0,997101449;1,91488441;W;W;W;W;29300;175,26;4,46686762;2,243682807
162;5;virus;0,848041328;1;;5;-0,1;0;0,7;0,1;377;0,998459898;2,959618367;0,99734748;1,918562006;W;W;W;W;7040;28,91;3,847572659;1,461048092
188;5;lef;0,947787041;1;;3;-0,1;0;1;0,1;347;0,998297227;2,928543025;0,997118156;1,915133313;W;W;W;W;5080;29,02;3,705863712;1,462697408
211;6;bedekt;0,012528968;1;;6;-0,4;0;0;0,4;307;0,998055386;2,887009219;0,996742671;1,909567484;W;W;W;W;14200;8,53;4,152288344;0,930949031
208;6;giftig;0,109279896;1;;6;-0,4;0;0;-0,5;328;0,998083992;2,891668877;0,99695122;1,912651493;W;W;W;W;2760;4,99;3,440909082;0,698100546
229;6;chronologisch;0,162422942;1;;13;-0,5;-0,6;-0,6;0,4;357;0,998165591;2,905316504;0,99719888;1,916337671;W;W;W;W;6900;0,32;3,838849091;-0,494850022
210;6;tonijn;0,1827373;1;;6;-0.1;0;1;0.1;337;0,998158162;2,904051528;0,997032641;1,913860504;W;W;W;W;1700;5,05;3,230448921;0,703291378
204;6;toenadering;0,192509384;1;;11;-0,4;0;0;0,5;333;0,998082345;2,891398932;0,996996997;1,913330889;W;W;W;W;5810;0,8;3,764176132;-0,096910013
215;6;ruimdenkend;0,216352747;1;;11;0,3;0;0;0;335;0,998151063;2,902846884;0,997014925;1,91359721;W;W;W;W;1800;0,94;3,255272505;-0,026872146
233;6;ontketenen;0,297789063;1;;10;-0,5;-0,6;-0,6;1,2;374;0,998208531;2,912721646;0,997326203;1,918242939;W;W;W;W;2080;1,05;3,318063335;0,021189299
222;6;geluk;0,416041613;1;;5;0,3;0;0,9;0,3;368;0,998188886;2,909314107;0,997282609;1,917589808;W;W;W;W;46900;166,02;4,671172843;2,22016041
228;6;ondertiteling;0,479072454;1;;13;-0,6;0;0;0,4;363;0,998085873;2,891977471;0,997245179;1,917029691;W;W;W;W;1260;3,06;3,100370545;0,485721426
227;6;oogschaduw;0,541904526;1;;10;-0,5;0;0;-0,4;321;0,998188397;2,909229704;0,996884735;1,911666349;W;W;W;W;1250;0,71;3,096910013;-0,148741651
